N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
75,0.52,39,36,25,0.48,12,13,27,23,0.333333333333333,0.48,0.52,0.444444444444444,0.565217391304348,-0.120772946859903,0,12,2,12,75,25,50,0.333333333333333,36,13,23,39,12,27,0.48,0.52,348,2,2,4,1,1,0,2,57,7,10,1,1,0,0,1,0,0,0,0
85,0.56,48,37,35,0.46,16,19,32,18,0.411764705882353,0.457142857142857,0.564705882352941,0.5,1.05555555555556,-0.555555555555556,0,52,1,52,85,35,50,0.411764705882353,48,16,32,37,19,18,0.564705882352941,0.457142857142857,164,1,2,3,1,1,0,2,58,8,5,0,1,1,2,1,1,1,0,0
85,0.54,46,39,35,0.44,15,20,31,19,0.411764705882353,0.428571428571429,0.541176470588235,0.483870967741935,1.05263157894737,-0.568760611205433,0,45,2,45,85,35,50,0.411764705882353,39,20,19,46,15,31,0.458823529411765,0.571428571428571,157,1,2,3,0,2,1,1,59,8,5,0,1,0,0,0,0,0,0,0
75,0.56,43,32,29,0.54,16,13,27,19,0.386666666666667,0.551724137931034,0.573333333333333,0.592592592592593,0.684210526315789,-0.0916179337231969,1,28,2,84,75,29,46,0.386666666666667,32,13,19,43,16,27,0.426666666666667,0.448275862068966,196,1,2,3,0,2,1,1,60,8,5,0,1,0,0,1,0,0,0,0
75,0.52,39,36,42,0.54,23,19,16,17,0.56,0.547619047619048,0.52,1.4375,1.11764705882353,0.319852941176471,1,18,2,74,75,42,33,0.56,36,19,17,39,23,16,0.48,0.452380952380952,186,1,2,3,0,2,1,1,61,8,5,0,1,0,0,1,0,0,0,0
65,0.52,34,31,35,0.56,20,15,14,16,0.538461538461538,0.571428571428571,0.523076923076923,1.42857142857143,0.9375,0.491071428571429,1,6,1,62,65,35,30,0.538461538461538,34,20,14,31,15,16,0.523076923076923,0.571428571428571,174,1,2,3,1,1,0,2,62,8,5,0,1,0,0,0,0,0,0,0
75,0.54,41,34,23,0.48,11,12,30,22,0.306666666666667,0.478260869565217,0.546666666666667,0.366666666666667,0.545454545454545,-0.178787878787879,0,20,1,20,75,23,52,0.306666666666667,41,11,30,34,12,22,0.546666666666667,0.478260869565217,356,2,2,4,0,2,1,1,63,9,8,1,1,1,1,0,1,1,0,0
65,0.54,36,29,27,0.46,12,15,24,14,0.415384615384615,0.444444444444444,0.553846153846154,0.5,1.07142857142857,-0.571428571428571,0,8,1,8,65,27,38,0.415384615384615,36,12,24,29,15,14,0.553846153846154,0.444444444444444,344,2,2,4,0,2,1,1,64,9,8,1,1,0,0,1,0,0,0,0
85,0.56,48,37,44,0.46,20,24,28,13,0.517647058823529,0.454545454545455,0.564705882352941,0.714285714285714,1.84615384615385,-1.13186813186813,0,55,1,55,85,44,41,0.517647058823529,48,20,28,37,24,13,0.564705882352941,0.454545454545455,391,2,2,4,0,2,1,1,65,9,8,1,1,0,0,1,0,0,0,0
75,0.54,41,34,40,0.46,18,22,23,12,0.533333333333333,0.45,0.546666666666667,0.782608695652174,1.83333333333333,-1.05072463768116,0,25,2,25,75,40,35,0.533333333333333,34,22,12,41,18,23,0.453333333333333,0.55,361,2,2,4,1,1,0,2,66,9,8,1,1,0,0,0,0,0,0,0
85,0.52,45,40,37,0.46,17,20,28,20,0.435294117647059,0.459459459459459,0.529411764705882,0.607142857142857,1,-0.392857142857143,0,36,2,36,85,37,48,0.435294117647059,40,20,20,45,17,28,0.470588235294118,0.540540540540541,372,2,2,4,1,1,0,2,67,9,8,1,1,0,0,1,0,0,0,0
85,0.54,46,39,46,0.46,21,25,25,14,0.541176470588235,0.456521739130435,0.541176470588235,0.84,1.78571428571429,-0.945714285714286,0,47,1,47,85,46,39,0.541176470588235,46,21,25,39,25,14,0.541176470588235,0.456521739130435,383,2,2,4,0,2,1,1,68,9,8,1,1,0,0,0,0,0,0,0
75,0.52,39,36,24,0.46,11,13,28,23,0.32,0.458333333333333,0.52,0.392857142857143,0.565217391304348,-0.172360248447205,0,13,2,13,75,24,51,0.32,36,13,23,39,11,28,0.48,0.541666666666667,349,2,2,4,1,1,0,2,69,9,8,1,1,0,0,0,0,0,0,0
85,0.52,45,40,50,0.52,26,24,19,16,0.588235294117647,0.52,0.529411764705882,1.36842105263158,1.5,-0.131578947368421,1,38,2,94,85,50,35,0.588235294117647,40,24,16,45,26,19,0.470588235294118,0.48,430,2,2,4,0,2,1,1,70,9,8,1,1,0,0,0,0,0,0,0
85,0.54,46,39,35,0.56,20,15,26,24,0.411764705882353,0.571428571428571,0.541176470588235,0.769230769230769,0.625,0.144230769230769,1,45,2,101,85,35,50,0.411764705882353,39,15,24,46,20,26,0.458823529411765,0.428571428571429,325,2,1,2,0,2,0,2,71,10,7,1,0,2,4,0,1,0,1,0
65,0.52,34,31,37,0.54,20,17,14,14,0.569230769230769,0.540540540540541,0.523076923076923,1.42857142857143,1.21428571428571,0.214285714285714,1,5,2,61,65,37,28,0.569230769230769,31,17,14,34,20,14,0.476923076923077,0.459459459459459,285,2,1,2,0,2,0,2,72,10,7,1,0,0,0,1,0,0,0,0
65,0.52,34,31,28,0.56,16,12,18,19,0.430769230769231,0.571428571428571,0.523076923076923,0.888888888888889,0.631578947368421,0.257309941520468,1,3,1,59,65,28,37,0.430769230769231,34,16,18,31,12,19,0.523076923076923,0.571428571428571,283,2,1,2,1,1,1,1,73,10,7,1,0,0,0,0,0,0,0,0
65,0.54,36,29,28,0.52,15,13,21,16,0.430769230769231,0.535714285714286,0.553846153846154,0.714285714285714,0.8125,-0.0982142857142857,1,7,2,63,65,28,37,0.430769230769231,29,13,16,36,15,21,0.446153846153846,0.464285714285714,287,2,1,2,0,2,0,2,74,10,7,1,0,0,0,0,0,0,0,0
85,0.56,48,37,33,0.44,14,19,34,18,0.388235294117647,0.424242424242424,0.564705882352941,0.411764705882353,1.05555555555556,-0.643790849673203,0,53,1,53,85,33,52,0.388235294117647,48,14,34,37,19,18,0.564705882352941,0.424242424242424,277,2,1,2,0,2,0,2,75,10,7,1,0,0,0,1,0,0,0,0
75,0.56,43,32,28,0.44,12,16,31,16,0.373333333333333,0.428571428571429,0.573333333333333,0.387096774193548,1,-0.612903225806452,0,29,2,29,75,28,47,0.373333333333333,32,16,16,43,12,31,0.426666666666667,0.571428571428571,253,2,1,2,1,1,1,1,76,10,7,1,0,0,0,0,0,0,0,0
85,0.56,48,37,46,0.52,24,22,24,15,0.541176470588235,0.521739130434783,0.564705882352941,1,1.46666666666667,-0.466666666666667,1,54,1,110,85,46,39,0.541176470588235,48,24,24,37,22,15,0.564705882352941,0.521739130434783,334,2,1,2,1,1,1,1,77,10,7,1,0,0,0,1,0,0,0,0
